PaddleX,ActionX,BallsData
-3.299999,0,4.136837:2.571605
-3.299999,0,4.136837:2.377053
-3.299999,0,4.136837:2.173187
-3.299999,0,4.136837:1.967249
-3.299999,0,4.136837:1.760081
-3.299999,1,4.136837:1.56159
-2.999999,1,4.136837:1.390692
-2.699999,1,4.136837:1.119359
-2.399999,1,4.136837:0.8955221
-2.099999,1,4.136837:0.7324526
-1.799999,1,4.136837:0.6029607
-1.499999,1,4.136837:0.2102514
-1.199999,1,4.136837:-0.02847404
-0.8999994,1,4.136837:-0.2701079
-0.5999995,1,4.136837:-0.5180312
-0.2999997,1,4.136837:-0.7684796
2.384186E-07,1,4.136837:-1.023389
0.3000001,1,4.136837:-1.280526
0.6,1,4.136837:-1.542235
0.8999999,1,4.136837:-1.805411
1.2,1,4.136837:-2.074219
1.5,1,4.136837:-2.328537
1.8,1,4.136837:-2.609962
2.1,1,4.136837:-2.895163
2.4,1,4.136837:-3.186142
2.7,1,4.136837:-3.475892
3,1,
3.299999,0,-1.433955:5.974733
3.299999,0,-1.433955:5.855312
3.299999,0,-1.433955:5.747287
3.299999,0,-1.433955:5.632065
3.299999,0,-1.433955:5.57673
3.299999,0,-1.433955:5.55711
3.299999,0,-1.433955:5.279541
3.299999,0,-1.433955:5.150959
3.299999,0,-1.433955:5.060533
3.299999,0,-1.433955:5.025217
3.299999,0,-1.433955:4.745197
3.299999,0,-1.433955:4.621771
3.299999,0,-1.433955:4.574683
3.299999,0,-1.433955:4.313603
3.299999,0,-1.433955:4.155608
3.299999,0,-1.433955:3.992576
3.299999,0,-1.433955:3.825224
3.299999,0,-1.433955:3.656746
3.299999,0,-1.433955:3.482609
3.299999,0,-1.433955:3.326185
3.299999,0,-1.433955:3.148431
3.299999,-1,-1.433955:2.96083
3,-1,-1.433955:2.795663
2.7,-1,-1.433955:2.705411
2.4,-1,-1.433955:2.391131
2.1,-1,-1.433955:2.212146
1.8,-1,-1.433955:2.110122
1.5,-1,-1.433955:1.771025
1.2,-1,-1.433955:1.561085
0.8999999,-1,-1.433955:1.364423
0.6,-1,-1.433955:1.137394
0.3000001,-1,-1.433955:0.9134808
2.384186E-07,-1,-1.433955:0.6831648
-0.2999997,-1,-1.433955:0.4715729
-0.5999995,-1,-1.433955:0.235649
-0.8999994,-1,-1.433955:-0.001237838
-1.199999,-1,-1.433955:-0.2424802
-1.499999,0,-1.433955:-0.4962066
-1.499999,0,-1.433955:-0.729231
-1.499999,0,-1.433955:-1.00572
-1.499999,0,-1.433955:-1.263475
-1.499999,0,-1.433955:-1.424359
-1.499999,0,-1.433955:-1.776145
-1.499999,0,-1.433955:-2.04811
-1.499999,0,-1.433955:-2.321427
-1.499999,0,-1.433955:-2.599315
-1.499999,0,-1.433955:-2.881977
-1.499999,0,-1.433955:-3.165143
-1.499999,0,
-1.499999,0,
-1.499999,0,4.317013:5.958449
-1.499999,0,4.317013:5.852891
-1.499999,0,4.317013:5.753403
-1.499999,0,4.317013:5.632848
-1.499999,0,4.317013:5.597234
-1.499999,0,4.317013:5.412622
-1.499999,0,4.317013:5.282994
-1.499999,0,4.317013:5.255526
-1.499999,0,4.317013:5.026494
-1.499999,0,4.317013:4.886918
-1.499999,0,4.317013:4.739067
-1.499999,0,4.317013:4.613059
-1.499999,0,4.317013:4.466968
-1.499999,1,4.317013:4.310458
-1.199999,1,4.317013:4.149209
-0.8999994,1,4.317013:4.071809
-0.5999995,1,4.317013:3.833619
